"[114.99999999999999, 15902375.0, 3.0]"
"[-1, 2398.0, 3.0]"
"[320.0, 3762.0, 4.0]"
"[-1, 16002100.0, 3.0]"
"[-1, 18002000.0, 3.0]"
"[256.0, 2884.0, 4.0]"
"[750.0, 3600.0, 4.0]"
"[225.99999999999997, 11521674.0, 3.0]"
"[204.99999999999997, 25003035.0, 4.0]"
"[8481.0, 12851575.0, 3.0]"
"[285.0, 2700.0, 4.0]"
"[103.0, 30005850.0, 5.0]"
"[235.0, 2700.0, 4.0]"
"[155.0, 19112132.0, 3.0]"
"[240.0, 2430.0, 3.0]"
"[-1, 1280.0, 2.0]"
"[285.0, 3762.0, 5.0]"
"[300.0, 3618.0, 4.0]"
"[346.0, 14402160.0, 3.0]"
"[195.0, 1935.0, 3.0]"
"[1186.0, 61476221.0, 5.0]"
